"Región, Grupo Actividad Económica (CIUU)" "X__1" "2007" "X__2" "X__3" "X__4" "X__5" "X__6" "2008" "X__7" "X__8" "X__9" "X__10" "X__11" "2009" "X__12" "X__13" "X__14" "X__15" "X__16" "2010" "X__17" "X__18" "X__19" "X__20" "X__21" "2011" "X__22" "X__23" "X__24" "X__25" "X__26" "2012" "X__27" "X__28" "X__29" "X__30" "X__31" "2013" "X__32" "X__33" "X__34" "X__35" "X__36" "2014" "X__37" "X__38" "X__39" "X__40" "X__41" "2015" "X__42" "X__43" "X__44" "X__45" "X__46" "2016" "X__47" "X__48" "X__49" "X__50" "X__51"
"1" NA NA "Ambos sexos" NA "Hombres" NA "Mujeres" NA "Ambos sexos" NA "Hombres" NA "Mujeres" NA "Ambos sexos" NA "Hombres" NA "Mujeres" NA "Ambos sexos" NA "Hombres" NA "Mujeres" NA "Ambos sexos" NA "Hombres" NA "Mujeres" NA "Ambos sexos" NA "Hombres" NA "Mujeres" NA "Ambos sexos" NA "Hombres" NA "Mujeres" NA "Ambos sexos" NA "Hombres" NA "Mujeres" NA "Ambos sexos" NA "Hombres" NA "Mujeres" NA "Ambos sexos" NA "Hombres" NA "Mujeres" NA
"2" NA NA "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%" "Nº Def" "%"
"11" NA "Explotación De Minas Y Canteras" "37" "7.922912205567452E-2" "37" "8.4862385321100922E-2" "0" "0" "45" "8.8235294117647065E-2" "45" "9.2592592592592587E-2" "0" "0" "23" "5.2036199095022627E-2" "23" "5.569007263922518E-2" "0" "0" "36" "7.03125E-2" "36" "7.6595744680851063E-2" "0" "0" "33" "7.0212765957446813E-2" "33" "7.4829931972789115E-2" "0" "0" "26" "5.2845528455284556E-2" "26" "5.6644880174291937E-2" "0" "0" "25" "5.1440329218106998E-2" "24" "5.3333333333333337E-2" "1" "2.7777777777777776E-2" "15" "3.4562211981566823E-2" "14" "3.4653465346534656E-2" "1" "3.3333333333333333E-2" "11" "2.4444444444444446E-2" "11" "2.6894865525672371E-2" "0" "0" "17" "3.7444933920704845E-2" "17" "4.0189125295508277E-2" NA "0"
"12" NA "Hoteles Y Restaurantes" "7" "1.4989293361884369E-2" "3" "6.8807339449541288E-3" "4" "0.12903225806451613" "6" "1.1764705882352941E-2" "6" "1.2345679012345678E-2" "0" "0" "0" "0" "0" "0" "0" "0" "7" "1.3671875E-2" "4" "8.5106382978723406E-3" "3" "7.1428571428571425E-2" "10" "2.1276595744680851E-2" "9" "2.0408163265306121E-2" "1" "3.4482758620689655E-2" "5" "1.016260162601626E-2" "4" "8.7145969498910684E-3" "1" "3.0303030303030304E-2" "9" "1.8518518518518517E-2" "8" "1.7777777777777778E-2" "1" "2.7777777777777776E-2" "7" "1.6129032258064516E-2" "5" "1.2376237623762377E-2" "2" "6.6666666666666666E-2" "17" "3.7777777777777778E-2" "11" "2.6894865525672371E-2" "6" "0.14634146341463414" "8" "1.7621145374449341E-2" "7" "1.6548463356973995E-2" "1" "3.2258064516129031E-2"
"13" NA "Industrias Manufactureras Metálicas" "24" "5.1391862955032119E-2" "24" "5.5045871559633031E-2" "0" "0" "25" "4.9019607843137254E-2" "24" "4.9382716049382713E-2" "1" "4.1666666666666664E-2" "21" "4.7511312217194568E-2" "21" "5.0847457627118647E-2" "0" "0" "50" "9.765625E-2" "50" "0.10638297872340426" "0" "0" "46" "9.7872340425531917E-2" "45" "0.10204081632653061" "1" "3.4482758620689655E-2" "23" "4.6747967479674794E-2" "23" "5.0108932461873638E-2" "0" "0" "21" "4.3209876543209874E-2" "20" "4.4444444444444446E-2" "1" "2.7777777777777776E-2" "22" "5.0691244239631339E-2" "20" "4.9504950495049507E-2" "2" "6.6666666666666666E-2" "18" "0.04" "16" "3.9119804400977995E-2" "2" "4.878048780487805E-2" "22" "4.8458149779735685E-2" "21" "4.9645390070921988E-2" "1" "3.2258064516129031E-2"
"14" NA "Industrias Manufactureras No Metálicas" "27" "5.7815845824411134E-2" "24" "5.5045871559633031E-2" "3" "9.6774193548387094E-2" "25" "4.9019607843137254E-2" "24" "4.9382716049382713E-2" "1" "4.1666666666666664E-2" "15" "3.3936651583710405E-2" "14" "3.3898305084745763E-2" "1" "3.4482758620689655E-2" "26" "5.078125E-2" "20" "4.2553191489361701E-2" "6" "0.14285714285714285" "18" "3.8297872340425532E-2" "15" "3.4013605442176874E-2" "3" "0.10344827586206896" "36" "7.3170731707317069E-2" "35" "7.6252723311546838E-2" "1" "3.0303030303030304E-2" "30" "6.1728395061728392E-2" "25" "5.5555555555555552E-2" "5" "0.1388888888888889" "25" "5.7603686635944701E-2" "24" "5.9405940594059403E-2" "1" "3.3333333333333333E-2" "29" "6.4444444444444443E-2" "27" "6.6014669926650366E-2" "2" "4.878048780487805E-2" "38" "8.3700440528634359E-2" "38" "8.9834515366430265E-2" NA "0"
"15" NA "Intermediación Financiera" "2" "4.2826552462526769E-3" "2" "4.5871559633027525E-3" "0" "0" "3" "5.8823529411764705E-3" "3" "6.1728395061728392E-3" "0" "0" "4" "9.0497737556561094E-3" "3" "7.2639225181598066E-3" "1" "3.4482758620689655E-2" "9" "1.7578125E-2" "6" "1.276595744680851E-2" "3" "7.1428571428571425E-2" "0" "0" "0" "0" "0" "0" "5" "1.016260162601626E-2" "4" "8.7145969498910684E-3" "1" "3.0303030303030304E-2" "4" "8.23045267489712E-3" "3" "6.6666666666666671E-3" "1" "2.7777777777777776E-2" "2" "4.608294930875576E-3" "2" "4.9504950495049506E-3" "0" "0" "4" "8.8888888888888889E-3" "3" "7.3349633251833741E-3" "1" "2.4390243902439025E-2" "5" "1.1013215859030838E-2" "2" "4.7281323877068557E-3" "3" "9.6774193548387094E-2"
"16" NA "Otras Actividades De Servicios Comunitarias, Sociales Y Personales" "19" "4.068522483940043E-2" "19" "4.3577981651376149E-2" "0" "0" "22" "4.3137254901960784E-2" "19" "3.9094650205761319E-2" "3" "0.125" "16" "3.6199095022624438E-2" "14" "3.3898305084745763E-2" "2" "6.8965517241379309E-2" "11" "2.1484375E-2" "9" "1.9148936170212766E-2" "2" "4.7619047619047616E-2" "25" "5.3191489361702128E-2" "19" "4.3083900226757371E-2" "6" "0.20689655172413793" "14" "2.8455284552845527E-2" "12" "2.6143790849673203E-2" "2" "6.0606060606060608E-2" "16" "3.292181069958848E-2" "15" "3.3333333333333333E-2" "1" "2.7777777777777776E-2" "16" "3.6866359447004608E-2" "14" "3.4653465346534656E-2" "2" "6.6666666666666666E-2" "17" "3.7777777777777778E-2" "16" "3.9119804400977995E-2" "1" "2.4390243902439025E-2" "18" "3.9647577092511016E-2" "18" "4.2553191489361701E-2" NA "0"
"17" NA "Pesca" "16" "3.4261241970021415E-2" "12" "2.7522935779816515E-2" "4" "0.12903225806451613" "19" "3.7254901960784313E-2" "18" "3.7037037037037035E-2" "1" "4.1666666666666664E-2" "15" "3.3936651583710405E-2" "15" "3.6319612590799029E-2" "0" "0" "7" "1.3671875E-2" "7" "1.4893617021276596E-2" "0" "0" "15" "3.1914893617021274E-2" "15" "3.4013605442176874E-2" "0" "0" "13" "2.6422764227642278E-2" "13" "2.8322440087145968E-2" "0" "0" "7" "1.4403292181069959E-2" "7" "1.5555555555555555E-2" "0" "0" "8" "1.8433179723502304E-2" "6" "1.4851485148514851E-2" "2" "6.6666666666666666E-2" "0" "0" "0" "0" "0" "0" "9" "1.9823788546255508E-2" "9" "2.1276595744680851E-2" NA "0"
"18" NA "Servicios Sociales Y De Salud" "2" "4.2826552462526769E-3" "2" "4.5871559633027525E-3" "0" "0" "1" "1.9607843137254902E-3" "0" "0" "1" "4.1666666666666664E-2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "2" "4.0650406504065045E-3" "1" "2.1786492374727671E-3" "1" "3.0303030303030304E-2" "5" "1.0288065843621399E-2" "4" "8.8888888888888889E-3" "1" "2.7777777777777776E-2" "3" "6.9124423963133645E-3" "0" "0" "3" "0.1" "8" "1.7777777777777778E-2" "5" "1.2224938875305624E-2" "3" "7.3170731707317069E-2" "3" "6.6079295154185024E-3" "1" "2.3640661938534278E-3" "2" "6.4516129032258063E-2"
"19" NA "Suministro De Electricidad, Gas Y Agua" "0" "0" "0" "0" "0" "0" "3" "5.8823529411764705E-3" "3" "6.1728395061728392E-3" "0" "0" "2" "4.5248868778280547E-3" "2" "4.8426150121065378E-3" "0" "0" "3" "5.859375E-3" "2" "4.2553191489361703E-3" "1" "2.3809523809523808E-2" "2" "4.2553191489361703E-3" "2" "4.5351473922902496E-3" "0" "0" "4" "8.130081300813009E-3" "4" "8.7145969498910684E-3" "0" "0" "2" "4.11522633744856E-3" "2" "4.4444444444444444E-3" "0" "0" "2" "4.608294930875576E-3" "2" "4.9504950495049506E-3" "0" "0" "0" "0" "0" "0" "0" "0" "1" "2.2026431718061676E-3" "1" "2.3640661938534278E-3" NA "0"
"20" NA "Transporte, Almacenamiento Y Comunicaciones" "47" "0.1006423982869379" "47" "0.10779816513761468" "0" "0" "69" "0.13529411764705881" "67" "0.13786008230452676" "2" "8.3333333333333329E-2" "64" "0.14479638009049775" "64" "0.15496368038740921" "0" "0" "89" "0.173828125" "85" "0.18085106382978725" "4" "9.5238095238095233E-2" "86" "0.18297872340425531" "83" "0.18820861678004536" "3" "0.10344827586206896" "82" "0.16666666666666666" "81" "0.17647058823529413" "1" "3.0303030303030304E-2" "83" "0.17078189300411523" "81" "0.18" "2" "5.5555555555555552E-2" "92" "0.2119815668202765" "91" "0.22524752475247525" "1" "3.3333333333333333E-2" "84" "0.18666666666666668" "82" "0.20048899755501223" "2" "4.878048780487805E-2" "86" "0.1894273127753304" "84" "0.19858156028368795" "2" "6.4516129032258063E-2"
"21" NA "No informado" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3" "6.9124423963133645E-3" "3" "7.4257425742574254E-3" "0" "0" "57" "0.12666666666666668" "53" "0.1295843520782396" "4" "9.7560975609756101E-2" "0" "0" "0" "0" "0" "0"
